PFKh	-3.510000001094582e-06
BFBPh	0.0
FBAF	-0.813953317
TPI	0.813953384
G6PIh	158.3340576283
PGKm	-126.39707894390999
PGM	-125.83833379686
ENOf	125.83780776343
PYKf	125.83778578706001
PDHm	125.83638997932003
CS	8.078897264599988e-09
ACONITATEHYDR__RXN	0.0
ICDHxm	0.0
ISOCIT__CLEAV__RXN	1.2535216267175696e-40
MALSp	3.996014891973914e-24
OXGDC	-1.799999993670876e-27
AKGDm	4.7192645987024214e-08
SUCOAS	-1.182120000000955e-11
SUCD1m	-3.146389999999291e-16
FUMm	-3.113806638999999e-16
MDHm	-3.11380663136e-16
G6PDH2r	0.0
PGLh	0.0
PGDHh	0.0
RPEh	0.0
RPI	0.0
